id,popularity,vote_average,vote_count,averageRating,numVotes
580175,19.314,7.658,2786,7.7,230380
582014,24.609,7.5,2784,7.5,258713
600354,51.482,8.152,2781,8.2,249349
556984,13.69,7.727,2769,7.7,207049
375588,23.422,5.893,2768,5.4,87509
644495,26.057,6.626,2767,6.6,176777
415842,19.826,6.395,2765,6.2,101798
303858,16.113,6.447,2763,6.5,112772
458897,21.139,6.485,,5.0,85670
540901,19.563,6.486,2754,6.3,113768
818647,58.624,7.395,2753,5.5,26284
525661,16.037,6.814,2750,6.8,137389
95610,"18,589",6.417,2744,6.4,92005
646385,107.038,6.712,2739,6.3,191012
400160,50.823,7.509,2712,5.9,26214
503314,14.988,7.884,2705,7.7,37984
342470,24.882,76.73,2695,6.6,45799
433808,23.866,6.227,2685,6.4,147782
587792,14.8,7.338,2684,7.4,218563
406563,102.088,6.272,2679,5.7,82382
581734,18.152,7.237,2678,7.3,221781
491418,21.868,7.537,2676,7.3,137455
551332,10.329,7.51,,7.6,147926
364689,fastest,7.232,2652,Carlos Saldanha,"Robert L. Baird, Tim Federle, Brad Copeland, Ron Burch, David Kidd, Don Rhymer, Munro Leaf, Robert Lawson"
406759,55.7,6.355,2650,5.2,115552
429351,26.628,62.33,2632,6.6,101956
605116,13.629,6.481,2632,6.0,104509
314095,"19,31",6.4,2631,6.6,
438799,20.083,6.703,2623,6.6,117635
429200,13.118,7.204,2617,7.3,158828
445651,105.269,7.053,2617,5.7,40917
449443,33.471,6.77,2612,7.0,155500
531219,45.446,6.397,2583,5.4,52706
501929,31.019,7.937,2583,7.6,144682
431693,20.917,7.635,2581,6.8,63797
516486,23.324,7.419,2571,7.0,
403119,17.948,5.789,2570,5.7,66245
353070,23.48,66.89,2569,6.6,100482
398181,16.299,6.547,2559,6.7,136427
610150,85.407,7.917,2552,7.1,19331
339397,9.937,6.457,,6.6,85213
597208,27.726,6.992,2530,7.0,184486
420814,15.536,7.327,2529,7.2,91645
452507,11.456,5.939,2522,6.2,79525
394117,11.677,7.4,2510,,149186
976573,1008.942,7.757,2467,7.0,169047
555604,53.57,8.179,2464,7.6,166893
393457,21.302,6.874,2458,7.2,126421
384677,16.485,6.95,2458,6.5,77682
313922,11.648,6.708,2456,6.9,155469
429300,16.709,6.85,2448,6.6,66641
459992,15.28,6.735,,6.8,129652
398173,21.256,7.162,2440,6.8,107783
417384,20.778,6.5,2423,6.2,93027
601666,16.959,6.632,2417,6.4,160451
594767,are forced to get back into action and fight the Daughters of Atlas,6.662,2416,David F. Sandberg,"Henry Gayden, Chris Morgan, Bill Parker, C.C. Beck, William Moulton Marston"
484641,32.6,6.673,2408,6.7,
388399,14.068,7.042,2406,7.3,123299
565426,20.167,6.87,2403,6.1,55022
600583,21.577,6.792,2400,6.8,244845
399360,22.163,6.491,2395,6.6,72408
364433,12.023,7.442,2394,7.0,17720
379149,43.205,6.965,2389,7.0,133628
505600,16.898,7.05,2386,7.1,141831
14564,24.584,4.966,2375,,46286
610253,"37,851",6.49,2371,5.5,109451
407436,19.312,6.49,,6.5,70004
395990,"40,484",6.135,2366,6.3,84111
696374,12.354,8.449,2364,5.8,4373
438650,22.811,5.785,2358,,85137
882598,73.246,6.7,2352,6.5,248198
419680,26.192,6.27,2346,6.1,93857
316023,"14,518",6.06,2345,6.0,101397
505948,"designed to repopulate the earth following an extinction event. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.\"",6.684,2345,Michael Lloyd Green"," Grant Sputore""",6.7
539885,30.368,5.793,2342,5.5,68864
493529,126.33,7.459,2329,7.2,277721
449562,19.232,6.221,2326,5.5,74469
365942,13.85,7.1,2317,6.4,59128
567748,21.038,6.406,2314,6.3,179943
744275,140.224,7.097,2311,4.8,25511
535581,15.472,5.418,2309,5.4,103428
713704,188.126,7.006,2292,6.5,177019
587807,43.029,6.861,2289,5.3,43807
339877,19.476,8.026,2287,7.8,68854
335796,20.033,6.123,2283,6.2,83350
361292,17.531,6.936,2280,6.7,
292011,16.924,7.43,,7.5,108353
740985,19.672,6.468,2275,6.6,166744
459151,69.144,7.442,,5.8,27349
463272,21.362,6.257,2266,6.2,91801
502033,17.475,7.74,2260,7.7,188670
522162,33.577,7.155,2254,,106778
482373,38.036,7.122,,6.0,83298
416477,"12,076",7.344,2245,7.5,151510
539537,15.29,5.844,2245,4.9,64483
615777,54.971,7.443,2244,7.1,209718
567189,33.627,7.026,2242,5.8,72133
451915,13.012,7.554,2241,7.4,132397
546121,15.27,7.336,2240,6.7,115169
568091,"15,483",6.7,2236,6.5,116426
760104,101.313,6.8,2235,,228263
480414,43.044,5.7,2226,5.3,
542178,23.179,7.094,2217,7.1,170416
602223,56.739,7.029,2212,,49441
705861,32.032,7.787,2197,7.3,167060
433310,11.215,6.587,2195,6.4,
376866,13.102,6.443,2194,6.6,87493
531428,22.175,8.178,,8.0,129944
290512,35.553,66.16,2186,6.4,88911
476299,19.595,7.35,2185,6.4,47980
460458,58.776,6.029,2176,5.2,73257
418078,11.458,5.841,2167,6.1,111893
829280,31.817,7.547,2166,6.8,126383
581392,"30,117",6.8,2164,5.5,44683
602269,Baxter is unaware that the investigation is dredging up echoes of Deke's past,6.329,2158,John Lee Hancock,John Lee Hancock
332210,17.375,6.636,2156,6.8,73395
447277,353.543,6.536,2148,7.2,180187
400710,14.902,5.7,2147,5.2,54806
379170,28.5,7.866,2143,8.0,37895
401469,19.439,6.5,2143,6.8,109760
549053,13.789,7.227,2140,6.5,107077
267193,"14,813",5.928,2134,6.2,121319
428449,15.1,7.107,2124,6.8,87502
481084,32.867,6.613,2124,,50313
762975,67.516,8.155,2120,6.7,74306
465136,9.493,7.229,2112,6.5,26006
369557,15.249,7.88,2111,7.9,108920
581600,16.749,6.532,2108,6.2,107609
446791,22.128,6.486,2104,6.8,97154
384680,18.156,6.914,2098,7.2,108823
556803,13.619,7.012,2093,6.1,34768
346648,18.826,7.455,2092,7.8,116112
372343,15.842,5.196,2089,5.2,77751
412656,23.905,6.635,2087,5.7,65077
329833,22.338,4.888,2084,4.7,82525
454992,19.838,6.399,2083,6.1,87911
674324,26.625,7.474,2080,7.6,299765
294272,14.491,6.379,2080,6.7,64850
614917,"28,039",7.717,2075,7.5,193484
475303,1.473,6.499,2074,6.4,59065
457335,15.255,6.5,2060,6.3,79035
318121,10.564,7.31,2057,7.3,88156
483184,"8,707",7.567,2045,7.2,31887
522212,14.476,7.903,2036,7.6,
615656,1567.273,6.912,2034,,105031
58431,25.09,6.146,2029,,65037
502416,"15,987",5.796,2027,5.6,71619
484718,23.252,6.475,2025,5.3,81960
347375,"19,766",6.198,2022,6.1,94639
591273,26.06,6.723,2021,6.2,112116
399019,"15,376",5.896,2016,6.3,66600
374416,7.263,6.8,2016,6.7,14665
483906,24.667,6.251,2016,6.3,108508
625568,48.514,6.467,2015,6.0,88059
463821,18.083,6.2,2009,6.1,
619778,32.356,6.832,2000,6.2,122970
